Claim,Value,Local source
DOTA2 S0,0.6088 / 0.6090,docs/experiments/20260603_s0_dota2_roi_trans_validpng_metrics.json
DOTA2 S1,0.6177 / 0.6180,docs/experiments/20260608_dota2_s1_complete_and_s2_launch.md
DOTA2 S2 aggregate,best 0.620606; final 0.616655,docs/experiments/20260611_dota2_s2_loss0_replicates_analysis.md
DIOR-R S0,0.6531 / 0.6530,docs/experiments/20260613_dior_r_s0_sanitized_long_interim.md
DIOR-R S1 replicas,0.6751 / 0.675; 0.6690 / 0.669,docs/experiments/20260613_dior_r_geonexus_s1_s0e52_replicas_metrics.json
DIOR-R S2,startup clean; metrics pending,docs/experiments/20260613_dior_r_geonexus_s2_hierarchy_replicas_launch.md
